timestep,Auvergne_Rhone_Alpes,Nouvelle_Aquitaine,Occitanie,Provence_Alpes_Cote_dAzur
617,87.2,120.0,119.3617,120.0
618,87.2,95.0,119.3617,120.0
619,87.2,95.0,119.3617,120.0
620,113.825,120.0,115.4875,95.0
621,47.2,48.743316,47.615508,23.743316
622,87.2,95.0,119.3617,120.0
623,87.2,95.0,89.3,120.0
624,87.2,95.0,105.93102,120.0
625,19.425,22.513369,20.256484,47.513369
626,113.825,120.0,115.4875,95.0
627,75.5,82.486631,77.381016,107.48663
628,6.3,5.0,5.95,20.0
629,87.2,95.0,89.3,120.0
630,87.2,95.0,89.3,120.0
631,27.325,27.486631,27.368516,2.486631
632,113.825,120.0,115.4875,95.0
633,113.825,120.0,115.4875,95.0
634,113.825,120.0,115.4875,95.0
635,98.0,103.07487,99.36631,78.074866
636,87.2,95.0,89.3,120.0
637,87.2,120.0,119.3617,120.0
638,87.2,120.0,119.3617,120.0
639,87.2,120.0,119.3617,120.0
640,87.2,120.0,119.3617,120.0
641,87.2,120.0,119.3617,120.0
642,87.2,120.0,119.3617,120.0
643,87.2,120.0,119.3617,120.0
644,87.2,120.0,119.3617,120.0
645,87.2,120.0,119.3617,120.0
646,87.2,120.0,119.3617,120.0
647,87.2,120.0,119.3617,120.0
648,87.2,120.0,119.3617,120.0
649,87.2,120.0,119.3617,120.0
650,87.2,120.0,119.3617,120.0
651,87.2,120.0,119.3617,120.0
652,87.2,120.0,89.3,120.0
653,87.2,95.0,89.3,120.0
654,113.825,120.0,115.4875,95.0
655,113.825,120.0,115.4875,95.0
656,118.25459,120.0,120.0,99.737533
657,118.25459,120.0,120.0,99.737533
658,118.25459,120.0,120.0,99.737533
659,113.825,120.0,115.4875,95.0
660,87.2,95.0,89.3,120.0
661,87.2,120.0,119.3617,120.0
662,87.2,120.0,119.3617,120.0
663,87.2,120.0,119.3617,120.0
664,87.2,120.0,119.3617,120.0
665,87.2,95.0,89.3,120.0
666,87.2,95.0,89.3,120.0
667,77.86227,85.013123,79.7875,110.01312
668,113.825,120.0,115.4875,95.0
669,39.03727,40.013123,39.3,15.013123
670,87.2,95.0,89.3,120.0
671,87.2,95.0,89.3,120.0
672,87.2,95.0,89.3,120.0
673,87.2,95.0,89.3,120.0
674,113.825,120.0,115.4875,95.0
675,87.2,95.0,89.3,120.0
676,87.2,95.0,89.3,120.0
677,87.2,95.0,89.3,120.0
678,87.2,95.0,89.3,120.0
679,99.8,105.0,101.2,80.0
680,113.825,120.0,115.4875,95.0
681,113.825,120.0,115.4875,95.0
682,113.825,120.0,115.4875,95.0
683,113.825,120.0,115.4875,95.0
684,113.825,120.0,115.4875,95.0
685,17.171112,16.626858,17.024582,8.3731424
686,87.2,95.0,89.3,120.0
687,87.2,95.0,89.3,120.0
688,87.2,98.5485,89.3,120.0
689,87.2,120.0,110.06448,120.0
690,87.2,120.0,119.3617,120.0
691,87.2,120.0,119.3617,120.0
692,87.2,120.0,119.3617,120.0
693,87.2,120.0,119.3617,120.0
694,87.2,120.0,89.3,120.0
695,87.2,120.0,89.3,120.0
696,87.2,120.0,89.3,120.0
697,87.2,120.0,89.3,120.0
698,87.2,120.0,89.3,120.0
699,87.2,95.0,89.3,120.0
700,81.853264,89.281566,83.853191,114.28157
701,118.25459,120.0,120.0,99.737533
702,118.25459,120.0,120.0,99.737533
703,118.25459,120.0,120.0,99.737533
704,118.25459,120.0,120.0,99.737533
705,118.25459,120.0,120.0,99.737533
706,118.25459,120.0,120.0,99.737533
707,118.25459,120.0,120.0,99.737533
708,87.2,95.0,89.3,120.0
709,87.2,95.0,89.3,120.0
710,87.2,95.0,119.3617,120.0
711,87.2,120.0,119.3617,120.0
712,87.2,95.0,119.3617,120.0
713,87.2,95.0,89.3,120.0
714,87.2,95.0,89.3,120.0
715,87.2,95.0,89.3,120.0
716,113.825,120.0,115.4875,95.0
717,47.2,48.743316,47.615508,23.743316
718,87.2,95.0,109.50301,120.0
719,87.2,95.0,89.3,120.0
720,87.2,95.0,119.3617,120.0
721,87.2,95.0,89.3,120.0
722,113.825,120.0,115.4875,95.0
